id,employee_id,username,email,password,first_name,last_name,phone,address,gender,date_of_birth,role,status,department,department_id,designation,designation_id,position,grade,skills,salary,hire_date,created_at,updated_at
1,EMP10000,fergusongregory,amandaporter@example.org,^fU6Bnjt&*4Z,Kevin,Hernandez,(996)512-3622x18323,"6432 Teresa Prairie
Morganmouth, MD 61638",Male,1992-11-27,admin,active,"Scientist, physiological",5,Chief Marketing Officer,60,"Doctor, general practice",3.0,[294.0],24272,2024-07-23,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
2,EMP10001,rossjuan,michaelpeters@example.com,x$K4)OAxI#j+,Deborah,Gonzales,2656466635,"954 Stephanie Rue Suite 725
Lake Kevin, GA 27329",Female,1991-05-20,admin,active,"Scientist, forensic",39,Public house manager,125,Arboriculturist,3.0,"[86.0, 86.0]",14549,2020-10-29,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
3,EMP10002,coxabigail,luisoneill@example.net,i$6yTUmf2nU7,Jose,Roach,685.512.7783x8114,"09717 Mary Mountains
Murphyberg, GU 86501",Female,1996-01-15,admin,active,"Programme researcher, broadcasting/film/video",39,Intelligence analyst,125,Mental health nurse,3.0,"[86.0, 86.0]",14549,2017-07-21,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
4,EMP10003,stephen11,nicoleortiz@example.com,K5W*Vvf*wM_3,Chris,Aguilar,657-233-7983,"6120 Linda Rue
New Kendra, OR 11236",Female,1997-09-28,employee,active,"Merchandiser, retail",39,"Surveyor, quantity",124,Primary school teacher,2.0,"[86.0, 86.0, 86.0, 86.0, 86.0]",14273,2016-09-09,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
5,EMP10004,edwardgraham,dustinrodriguez@example.net,)5TCvy%n5U!I,Stephanie,Bates,9357751956,"714 Jesse Crossroad
Moralesmouth, MS 59175",Female,1979-09-24,admin,active,Water quality scientist,39,Brewing technologist,124,Nature conservation officer,2.0,"[86.0, 86.0]",15337,2019-10-03,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
6,EMP10005,dyerchristopher,wrightbrandi@example.org,8$DS@Kma&7zK,Nancy,Price,291-776-8562x001,"1213 Jose Locks
Stephanieberg, NY 61881",Female,1986-05-13,employee,active,"Scientist, product/process development",39,Forest/woodland manager,125,Sports therapist,3.0,"[93.0, 92.0]",15040,2018-04-03,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
7,EMP10006,hwilliams,andrea03@example.com,5@$3oBnINPO2,Cheryl,Vasquez,001-573-787-4235x762,"63595 Lisa Manor
Robertsonfort, AK 09625",Female,1981-01-05,admin,active,Ergonomist,39,Quantity surveyor,124,"Scientist, research (medical)",2.0,"[86.0, 86.0]",15337,2015-07-24,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
8,EMP10007,stacyjensen,virginialove@example.com,fr1n2mm_*3Vr,Matthew,Greene,270.729.9632,"34830 Gonzalez Throughway
Robertsland, VT 51192",Female,1997-02-06,admin,active,Transport planner,39,Town planner,124,Media buyer,2.0,"[86.0, 86.0]",15337,2019-09-03,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
9,EMP10008,john23,michaelmyers@example.net,U2NT5Mmu0j@9,Erica,Moreno,987.213.1201x1553,"8731 Matthew Rapid Suite 951
Beasleyport, SD 38722",Female,1983-05-13,employee,active,"Designer, furniture",39,"Surveyor, minerals",125,"Programmer, applications",3.0,"[86.0, 86.0]",14549,2019-03-05,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
10,EMP10009,fflores,careybarbara@example.org,L^@a2Xix)J4C,Carla,Bryant,696-953-5759x3580,"3927 Chambers Ports Apt. 495
Brownfurt, TX 81669",Female,1983-01-10,admin,active,Food technologist,39,Architectural technologist,124,"Restaurant manager, fast food",2.0,"[86.0, 86.0]",15337,2016-06-28,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
11,EMP10010,cramirez,lisa89@example.com,TV6VPIwC!BfP,John,Phillips,390-943-7557,"Unit 5512 Box 6289
DPO AP 58641",Female,1997-11-02,admin,active,"Pharmacist, hospital",39,"Engineer, site",124,Biomedical engineer,2.0,"[86.0, 89.0]",15337,2024-11-09,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
12,EMP10011,kaitlynpierce,weisstiffany@example.org,YR9DB2i6ijx%,Jennifer,Gonzales,(220)310-2917x17638,"8100 Jennifer Village Suite 409
Blakemouth, VI 65281",Male,1990-12-08,admin,active,Community development worker,39,"Programmer, applications",124,"Biochemist, clinical",2.0,"[86.0, 86.0, 86.0]",15337,2020-01-05,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
13,EMP10012,rkim,sfrazier@example.net,v%(0FS2ue67v,Rebecca,Martin,774.543.0383,"22983 Dixon Cape Apt. 514
Summersfort, AL 95051",Female,1977-10-18,employee,active,"Accountant, chartered",39,"Investment banker, corporate",124,Fitness centre manager,2.0,"[89.0, 86.0]",15585,2019-02-01,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
14,EMP10013,orussell,murillochase@example.com,+tsyRqPHIu8K,Michael,Harris,903-529-4510x437,"322 Christine Locks Suite 906
Anthonyfurt, ID 68619",Female,1999-03-22,admin,active,Chief Operating Officer,39,Social worker,124,Visual merchandiser,2.0,"[86.0, 86.0]",15337,2023-05-19,2025-12-17 04:42:53.564405,2025-12-17 04:42:53.564417
